codigo_reserva;cedula_huesped;id_alojamiento;fecha_pago;metodo_pago;fecha_inicio;fecha_fin;pregunta_cliente
RSV0286;200000217;1096;20/05/2025;TCredito;21/05/2025;25/05/2025;Se permite fumar?
RSV0287;200000212;1018;09/07/2025;PSE;12/07/2025;17/07/2025;Hay vigilancia?
RSV0288;200000036;1107;11/06/2025;PSE;15/06/2025;17/06/2025;Se permite fumar?
RSV0289;200000172;1243;24/06/2025;TCredito;28/06/2025;29/06/2025;Hay vigilancia?
RSV0290;200000055;1172;09/05/2025;PSE;11/05/2025;14/05/2025;Incluye desayuno?
RSV0291;200000048;1145;23/06/2025;PSE;25/06/2025;29/06/2025;Es zona segura?
RSV0292;200000019;1164;13/06/2025;TCredito;14/06/2025;17/06/2025;Hay vigilancia?
RSV0293;200000192;1214;30/05/2025;PSE;03/06/2025;08/06/2025;Puedo llevar mascota?
RSV0294;200000034;1064;01/06/2025;PSE;05/06/2025;09/06/2025;Hay aire acondicionado?
RSV0295;200000071;1158;05/05/2025;TCredito;09/05/2025;11/05/2025;Incluye desayuno?
RSV0296;200000025;1165;20/06/2025;PSE;23/06/2025;24/06/2025;Puedo llevar mascota?
RSV0297;200000055;1061;27/07/2025;TCredito;28/07/2025;01/08/2025;Es zona segura?
RSV0298;200000069;1074;26/06/2025;PSE;30/06/2025;04/07/2025;Se permite fumar?
RSV0299;200000060;1034;20/06/2025;TCredito;25/06/2025;27/06/2025;Es zona segura?
RSV0300;200000050;1165;21/07/2025;PSE;25/07/2025;28/07/2025;Tiene parqueadero?
RSV0301;200000141;1213;05/07/2025;PSE;09/07/2025;11/07/2025;Se permite fumar?
RSV0302;200000186;1141;17/07/2025;TCredito;21/07/2025;24/07/2025;Hay vigilancia?
RSV0303;200000085;1054;20/07/2025;PSE;25/07/2025;27/07/2025;Tiene cocina?
RSV0304;200000048;1107;29/04/2025;TCredito;02/05/2025;03/05/2025;Incluye desayuno?
RSV0305;200000188;1154;18/06/2025;TCredito;22/06/2025;26/06/2025;Tiene cocina?
RSV0306;200000029;1179;31/05/2025;PSE;05/06/2025;10/06/2025;Es zona segura?
RSV0307;200000169;1113;02/06/2025;PSE;06/06/2025;10/06/2025;Es zona segura?
RSV0308;200000235;1198;23/05/2025;PSE;24/05/2025;29/05/2025;Tiene wifi?
RSV0309;200000151;1186;24/06/2025;PSE;26/06/2025;01/07/2025;Hay aire acondicionado?
RSV0310;200000237;1055;06/06/2025;TCredito;07/06/2025;12/06/2025;Puedo llevar mascota?
RSV0311;200000103;1143;02/06/2025;PSE;04/06/2025;05/06/2025;Es zona segura?
RSV0312;200000178;1148;29/06/2025;TCredito;03/07/2025;07/07/2025;Puedo llevar mascota?
RSV0313;200000011;1214;10/07/2025;TCredito;15/07/2025;18/07/2025;Es zona segura?
RSV0314;200000248;1097;04/06/2025;PSE;09/06/2025;14/06/2025;Es zona segura?
RSV0315;200000189;1194;26/07/2025;PSE;30/07/2025;03/08/2025;Puedo llevar mascota?
RSV0316;200000042;1027;18/05/2025;TCredito;21/05/2025;25/05/2025;Tiene cocina?
RSV0317;200000060;1058;03/07/2025;PSE;06/07/2025;07/07/2025;Hay vigilancia?
RSV0318;200000050;1111;05/07/2025;TCredito;10/07/2025;12/07/2025;Hay vigilancia?
RSV0319;200000169;1207;16/06/2025;PSE;19/06/2025;22/06/2025;Hay aire acondicionado?
RSV0320;200000180;1222;26/06/2025;PSE;29/06/2025;03/07/2025;Se permite fumar?
RSV0321;200000075;1098;24/06/2025;TCredito;29/06/2025;03/07/2025;Tiene parqueadero?
RSV0322;200000100;1137;27/05/2025;TCredito;30/05/2025;04/06/2025;Hay aire acondicionado?
RSV0323;200000191;1105;29/05/2025;TCredito;03/06/2025;08/06/2025;Puedo llevar mascota?
RSV0324;200000042;1212;07/07/2025;TCredito;09/07/2025;13/07/2025;Incluye desayuno?
RSV0325;200000011;1032;01/05/2025;TCredito;03/05/2025;04/05/2025;Se permite fumar?
RSV0326;200000192;1135;27/06/2025;PSE;28/06/2025;01/07/2025;Es zona segura?
RSV0327;200000208;1210;12/07/2025;PSE;16/07/2025;20/07/2025;Tiene wifi?
RSV0328;200000033;1247;27/06/2025;PSE;30/06/2025;04/07/2025;Tiene parqueadero?
RSV0329;200000037;1176;03/05/2025;PSE;07/05/2025;12/05/2025;Tiene wifi?
RSV0330;200000176;1036;13/06/2025;TCredito;18/06/2025;20/06/2025;Es zona segura?
RSV0331;200000092;1030;14/06/2025;PSE;15/06/2025;17/06/2025;Se permite fumar?
RSV0332;200000197;1193;01/07/2025;PSE;03/07/2025;07/07/2025;Hay aire acondicionado?
RSV0333;200000219;1204;08/06/2025;PSE;13/06/2025;17/06/2025;Es zona segura?
RSV0334;200000016;1113;12/07/2025;PSE;15/07/2025;20/07/2025;Incluye desayuno?
RSV0335;200000189;1103;30/05/2025;TCredito;31/05/2025;01/06/2025;Incluye desayuno?
RSV0336;200000100;1086;24/06/2025;TCredito;28/06/2025;01/07/2025;Puedo llevar mascota?
RSV0337;200000236;1217;04/06/2025;PSE;08/06/2025;10/06/2025;Hay aire acondicionado?
RSV0338;200000030;1196;12/07/2025;PSE;17/07/2025;20/07/2025;Tiene wifi?
RSV0339;200000061;1113;16/06/2025;TCredito;17/06/2025;21/06/2025;Puedo llevar mascota?
RSV0340;200000140;1003;16/05/2025;PSE;20/05/2025;21/05/2025;Tiene cocina?
RSV0341;200000198;1079;14/06/2025;PSE;17/06/2025;22/06/2025;Tiene parqueadero?
RSV0342;200000017;1199;09/07/2025;TCredito;14/07/2025;19/07/2025;Tiene cocina?
RSV0343;200000008;1248;12/06/2025;TCredito;15/06/2025;18/06/2025;Es zona segura?
RSV0344;200000176;1167;14/07/2025;PSE;15/07/2025;19/07/2025;Hay vigilancia?
RSV0345;200000075;1245;07/05/2025;TCredito;08/05/2025;11/05/2025;Es zona segura?
RSV0346;200000200;1082;18/06/2025;TCredito;19/06/2025;20/06/2025;Tiene cocina?
RSV0347;200000055;1200;19/07/2025;TCredito;24/07/2025;26/07/2025;Se permite fumar?
RSV0348;200000039;1180;05/07/2025;PSE;09/07/2025;11/07/2025;Tiene parqueadero?
RSV0349;200000054;1231;25/07/2025;PSE;30/07/2025;04/08/2025;Tiene parqueadero?
RSV0350;200000209;1093;28/06/2025;TCredito;03/07/2025;06/07/2025;Hay aire acondicionado?
RSV0351;200000090;1005;15/05/2025;PSE;20/05/2025;25/05/2025;Tiene wifi?
RSV0352;200000102;1234;21/05/2025;TCredito;23/05/2025;26/05/2025;Incluye desayuno?
RSV0353;200000190;1034;04/06/2025;TCredito;05/06/2025;10/06/2025;Tiene cocina?
RSV0354;200000207;1205;29/06/2025;PSE;01/07/2025;06/07/2025;Puedo llevar mascota?
RSV0355;200000201;1194;28/05/2025;PSE;01/06/2025;02/06/2025;Se permite fumar?
RSV0356;200000156;1044;06/07/2025;TCredito;07/07/2025;11/07/2025;Hay vigilancia?
RSV0357;200000080;1203;27/06/2025;TCredito;02/07/2025;03/07/2025;Hay aire acondicionado?
RSV0358;200000245;1106;14/06/2025;PSE;18/06/2025;22/06/2025;Tiene wifi?
RSV0359;200000151;1093;02/06/2025;TCredito;04/06/2025;05/06/2025;Hay vigilancia?
RSV0360;200000046;1088;18/07/2025;TCredito;20/07/2025;22/07/2025;Es zona segura?
RSV0361;200000051;1074;20/07/2025;PSE;24/07/2025;28/07/2025;Tiene wifi?
RSV0362;200000234;1191;23/07/2025;TCredito;27/07/2025;31/07/2025;Tiene parqueadero?
RSV0363;200000014;1159;02/06/2025;TCredito;04/06/2025;09/06/2025;Se permite fumar?
RSV0364;200000100;1209;02/05/2025;PSE;07/05/2025;09/05/2025;Se permite fumar?
RSV0365;200000141;1059;29/05/2025;TCredito;02/06/2025;04/06/2025;Puedo llevar mascota?
RSV0366;200000143;1133;03/06/2025;PSE;07/06/2025;11/06/2025;Hay vigilancia?
RSV0367;200000162;1119;10/07/2025;TCredito;15/07/2025;17/07/2025;Tiene wifi?
RSV0368;200000050;1164;26/04/2025;TCredito;01/05/2025;03/05/2025;Tiene parqueadero?
RSV0369;200000155;1098;25/05/2025;PSE;29/05/2025;31/05/2025;Tiene wifi?
RSV0370;200000048;1184;28/07/2025;TCredito;29/07/2025;31/07/2025;Esta cerca del metro?
RSV0371;200000194;1150;16/07/2025;TCredito;20/07/2025;22/07/2025;Hay vigilancia?
RSV0372;200000020;1137;06/05/2025;PSE;07/05/2025;09/05/2025;Hay vigilancia?
RSV0373;200000018;1185;24/06/2025;PSE;26/06/2025;30/06/2025;Puedo llevar mascota?
RSV0374;200000089;1001;02/06/2025;TCredito;07/06/2025;11/06/2025;Puedo llevar mascota?
RSV0375;200000028;1013;07/05/2025;PSE;09/05/2025;12/05/2025;Incluye desayuno?
RSV0376;200000084;1166;16/07/2025;PSE;21/07/2025;26/07/2025;Tiene cocina?
RSV0377;200000223;1223;09/07/2025;PSE;12/07/2025;13/07/2025;Se permite fumar?
RSV0378;200000179;1004;09/06/2025;PSE;13/06/2025;14/06/2025;Puedo llevar mascota?
RSV0379;200000178;1114;07/06/2025;PSE;12/06/2025;13/06/2025;Tiene wifi?
RSV0380;200000085;1126;25/07/2025;TCredito;29/07/2025;01/08/2025;Hay vigilancia?
RSV0381;200000224;1146;05/06/2025;TCredito;07/06/2025;12/06/2025;Incluye desayuno?
RSV0382;200000219;1127;15/05/2025;TCredito;18/05/2025;23/05/2025;Tiene wifi?
RSV0383;200000090;1042;30/05/2025;TCredito;04/06/2025;06/06/2025;Tiene parqueadero?
RSV0384;200000073;1093;22/07/2025;PSE;25/07/2025;29/07/2025;Tiene wifi?
RSV0385;200000221;1064;13/07/2025;PSE;18/07/2025;19/07/2025;Hay vigilancia?
RSV0386;200000236;1228;21/05/2025;TCredito;23/05/2025;28/05/2025;Esta cerca del metro?
RSV0387;200000151;1178;19/06/2025;TCredito;20/06/2025;21/06/2025;Hay vigilancia?
RSV0388;200000181;1149;16/07/2025;PSE;19/07/2025;20/07/2025;Hay aire acondicionado?
RSV0389;200000074;1117;03/05/2025;TCredito;06/05/2025;07/05/2025;Tiene wifi?
RSV0390;200000114;1045;27/06/2025;TCredito;02/07/2025;04/07/2025;Tiene wifi?
RSV0391;200000026;1021;06/05/2025;PSE;10/05/2025;13/05/2025;Tiene wifi?
RSV0392;200000032;1073;18/07/2025;PSE;22/07/2025;23/07/2025;Incluye desayuno?
RSV0393;200000208;1012;20/07/2025;PSE;22/07/2025;25/07/2025;Tiene parqueadero?
RSV0394;200000009;1061;08/05/2025;PSE;09/05/2025;11/05/2025;Tiene parqueadero?
RSV0395;200000218;1126;29/06/2025;PSE;30/06/2025;04/07/2025;Incluye desayuno?
RSV0396;200000129;1148;04/05/2025;PSE;05/05/2025;07/05/2025;Hay vigilancia?
RSV0397;200000146;1060;15/07/2025;PSE;19/07/2025;23/07/2025;Incluye desayuno?
RSV0398;200000124;1104;19/06/2025;TCredito;20/06/2025;24/06/2025;Incluye desayuno?
RSV0399;200000193;1105;23/06/2025;TCredito;25/06/2025;27/06/2025;Hay vigilancia?
RSV0400;200000219;1095;23/06/2025;TCredito;26/06/2025;30/06/2025;Hay vigilancia?
RSV0401;200000130;1119;14/07/2025;TCredito;18/07/2025;20/07/2025;Puedo llevar mascota?
RSV0402;200000148;1003;23/05/2025;PSE;24/05/2025;27/05/2025;Esta cerca del metro?
RSV0403;200000134;1214;22/06/2025;TCredito;25/06/2025;30/06/2025;Incluye desayuno?
RSV0404;200000225;1081;27/06/2025;TCredito;29/06/2025;03/07/2025;Tiene cocina?
RSV0405;200000032;1019;15/05/2025;PSE;19/05/2025;21/05/2025;Tiene parqueadero?
RSV0406;200000198;1098;06/07/2025;PSE;11/07/2025;14/07/2025;Tiene wifi?
RSV0407;200000128;1039;21/06/2025;PSE;24/06/2025;26/06/2025;Puedo llevar mascota?
RSV0408;200000119;1216;24/06/2025;PSE;25/06/2025;27/06/2025;Tiene parqueadero?
RSV0409;200000093;1182;25/07/2025;PSE;29/07/2025;31/07/2025;Tiene cocina?
RSV0410;200000188;1086;02/07/2025;TCredito;06/07/2025;11/07/2025;Tiene wifi?
RSV0411;200000156;1121;08/06/2025;PSE;13/06/2025;17/06/2025;Tiene parqueadero?
RSV0412;200000004;1223;03/06/2025;PSE;06/06/2025;09/06/2025;Se permite fumar?
RSV0413;200000044;1080;29/06/2025;PSE;30/06/2025;01/07/2025;Hay aire acondicionado?
RSV0414;200000234;1246;15/07/2025;TCredito;18/07/2025;21/07/2025;Se permite fumar?
RSV0415;200000118;1224;21/07/2025;TCredito;24/07/2025;29/07/2025;Es zona segura?
RSV0416;200000194;1106;06/07/2025;TCredito;11/07/2025;15/07/2025;Puedo llevar mascota?
RSV0417;200000229;1064;25/07/2025;TCredito;29/07/2025;31/07/2025;Tiene wifi?
RSV0418;200000072;1159;29/04/2025;PSE;04/05/2025;08/05/2025;Esta cerca del metro?
RSV0419;200000127;1158;13/05/2025;TCredito;15/05/2025;17/05/2025;Esta cerca del metro?
RSV0420;200000139;1129;28/05/2025;TCredito;31/05/2025;01/06/2025;Es zona segura?
RSV0421;200000121;1187;13/07/2025;TCredito;15/07/2025;16/07/2025;Es zona segura?
RSV0422;200000018;1108;03/05/2025;TCredito;07/05/2025;08/05/2025;Esta cerca del metro?
RSV0423;200000160;1081;11/06/2025;PSE;14/06/2025;17/06/2025;Tiene wifi?
RSV0424;200000178;1187;17/07/2025;PSE;22/07/2025;27/07/2025;Tiene cocina?
RSV0425;200000237;1006;04/05/2025;PSE;06/05/2025;08/05/2025;Incluye desayuno?
RSV0426;200000084;1063;20/05/2025;TCredito;25/05/2025;30/05/2025;Tiene parqueadero?
RSV0427;200000186;1006;26/07/2025;TCredito;29/07/2025;01/08/2025;Tiene parqueadero?
RSV0428;200000166;1080;20/07/2025;TCredito;24/07/2025;28/07/2025;Tiene parqueadero?
RSV0429;200000044;1242;29/05/2025;TCredito;31/05/2025;05/06/2025;Esta cerca del metro?
RSV0430;200000085;1191;01/06/2025;TCredito;06/06/2025;07/06/2025;Tiene cocina?
RSV0431;200000249;1044;03/06/2025;TCredito;06/06/2025;07/06/2025;Hay vigilancia?
RSV0432;200000146;1104;01/05/2025;PSE;03/05/2025;07/05/2025;Es zona segura?
RSV0433;200000033;1165;23/06/2025;PSE;24/06/2025;27/06/2025;Se permite fumar?
RSV0434;200000157;1147;26/06/2025;TCredito;28/06/2025;03/07/2025;Hay vigilancia?
RSV0435;200000135;1133;27/04/2025;TCredito;02/05/2025;06/05/2025;Tiene cocina?
RSV0436;200000152;1082;07/06/2025;PSE;10/06/2025;12/06/2025;Se permite fumar?
RSV0437;200000230;1160;02/07/2025;PSE;05/07/2025;09/07/2025;Puedo llevar mascota?
RSV0438;200000027;1164;27/06/2025;TCredito;29/06/2025;03/07/2025;Hay aire acondicionado?
RSV0439;200000159;1062;15/07/2025;PSE;20/07/2025;21/07/2025;Hay aire acondicionado?
RSV0440;200000146;1082;18/06/2025;PSE;20/06/2025;25/06/2025;Hay vigilancia?
RSV0441;200000122;1005;01/05/2025;PSE;05/05/2025;07/05/2025;Hay vigilancia?
RSV0442;200000016;1104;22/06/2025;TCredito;27/06/2025;29/06/2025;Hay vigilancia?
RSV0443;200000121;1146;03/06/2025;TCredito;04/06/2025;05/06/2025;Tiene cocina?
RSV0444;200000154;1067;10/06/2025;TCredito;15/06/2025;19/06/2025;Esta cerca del metro?
RSV0445;200000093;1053;06/05/2025;PSE;08/05/2025;12/05/2025;Tiene cocina?
RSV0446;200000088;1097;03/06/2025;PSE;04/06/2025;09/06/2025;Tiene parqueadero?
RSV0447;200000001;1129;23/07/2025;PSE;26/07/2025;29/07/2025;Se permite fumar?
RSV0448;200000059;1162;26/06/2025;TCredito;30/06/2025;05/07/2025;Es zona segura?
RSV0449;200000188;1188;29/05/2025;PSE;02/06/2025;04/06/2025;Hay aire acondicionado?
RSV0450;200000065;1130;31/05/2025;PSE;04/06/2025;09/06/2025;Se permite fumar?
RSV0451;200000119;1017;16/07/2025;TCredito;19/07/2025;21/07/2025;Puedo llevar mascota?
RSV0452;200000158;1147;02/05/2025;TCredito;06/05/2025;09/05/2025;Es zona segura?
RSV0453;200000216;1059;08/07/2025;PSE;12/07/2025;16/07/2025;Tiene cocina?
RSV0454;200000190;1013;02/07/2025;PSE;07/07/2025;11/07/2025;Es zona segura?
RSV0455;200000090;1043;20/06/2025;TCredito;21/06/2025;24/06/2025;Hay vigilancia?
RSV0456;200000228;1248;05/05/2025;PSE;10/05/2025;15/05/2025;Incluye desayuno?
RSV0457;200000172;1059;19/07/2025;TCredito;20/07/2025;24/07/2025;Tiene wifi?
RSV0458;200000085;1176;24/06/2025;PSE;26/06/2025;28/06/2025;Tiene wifi?
RSV0459;200000005;1109;17/06/2025;PSE;18/06/2025;22/06/2025;Se permite fumar?
RSV0460;200000081;1213;20/07/2025;TCredito;24/07/2025;26/07/2025;Tiene wifi?
RSV0461;200000181;1075;08/05/2025;PSE;11/05/2025;12/05/2025;Tiene cocina?
RSV0462;200000063;1180;19/07/2025;TCredito;23/07/2025;27/07/2025;Incluye desayuno?
RSV0463;200000121;1206;22/06/2025;PSE;27/06/2025;29/06/2025;Incluye desayuno?
RSV0464;200000106;1162;21/06/2025;PSE;24/06/2025;26/06/2025;Es zona segura?
RSV0465;200000223;1108;16/07/2025;TCredito;18/07/2025;19/07/2025;Hay vigilancia?
RSV0466;200000076;1215;23/07/2025;PSE;24/07/2025;26/07/2025;Tiene parqueadero?
RSV0467;200000151;1027;10/07/2025;PSE;14/07/2025;18/07/2025;Tiene parqueadero?
RSV0468;200000006;1160;18/05/2025;PSE;22/05/2025;24/05/2025;Incluye desayuno?
RSV0469;200000049;1131;21/06/2025;TCredito;23/06/2025;25/06/2025;Hay vigilancia?
RSV0470;200000064;1110;14/07/2025;TCredito;16/07/2025;20/07/2025;Tiene parqueadero?
RSV0471;200000018;1048;14/07/2025;PSE;17/07/2025;21/07/2025;Esta cerca del metro?
RSV0472;200000175;1124;15/07/2025;TCredito;18/07/2025;19/07/2025;Incluye desayuno?
RSV0473;200000048;1074;26/04/2025;TCredito;01/05/2025;02/05/2025;Incluye desayuno?
RSV0474;200000084;1006;14/05/2025;TCredito;15/05/2025;19/05/2025;Tiene wifi?
RSV0475;200000248;1205;23/05/2025;PSE;24/05/2025;29/05/2025;Incluye desayuno?
RSV0476;200000214;1006;20/05/2025;TCredito;22/05/2025;27/05/2025;Tiene wifi?
RSV0477;200000070;1198;13/06/2025;TCredito;18/06/2025;21/06/2025;Hay vigilancia?
RSV0478;200000197;1044;18/05/2025;TCredito;19/05/2025;22/05/2025;Hay aire acondicionado?
RSV0479;200000102;1158;03/06/2025;TCredito;06/06/2025;11/06/2025;Tiene cocina?
RSV0480;200000026;1126;19/05/2025;TCredito;23/05/2025;24/05/2025;Hay aire acondicionado?
RSV0481;200000210;1045;22/07/2025;PSE;25/07/2025;27/07/2025;Tiene wifi?
RSV0482;200000075;1212;20/05/2025;PSE;24/05/2025;25/05/2025;Incluye desayuno?
RSV0483;200000109;1067;12/07/2025;PSE;14/07/2025;18/07/2025;Incluye desayuno?
RSV0484;200000202;1180;15/05/2025;PSE;19/05/2025;24/05/2025;Incluye desayuno?
RSV0485;200000018;1239;20/05/2025;TCredito;25/05/2025;28/05/2025;Se permite fumar?
RSV0486;200000019;1211;03/05/2025;TCredito;07/05/2025;12/05/2025;Tiene wifi?
RSV0487;200000050;1193;18/05/2025;TCredito;21/05/2025;23/05/2025;Tiene parqueadero?
RSV0488;200000046;1248;01/07/2025;TCredito;03/07/2025;04/07/2025;Tiene cocina?
RSV0489;200000058;1085;04/06/2025;TCredito;08/06/2025;10/06/2025;Tiene cocina?
RSV0490;200000003;1130;13/07/2025;TCredito;17/07/2025;21/07/2025;Hay vigilancia?
RSV0491;200000182;1061;22/05/2025;TCredito;25/05/2025;28/05/2025;Hay aire acondicionado?
RSV0492;200000073;1154;27/05/2025;PSE;29/05/2025;01/06/2025;Es zona segura?
RSV0493;200000244;1186;07/07/2025;PSE;12/07/2025;13/07/2025;Es zona segura?
RSV0494;200000139;1055;10/05/2025;PSE;14/05/2025;16/05/2025;Hay vigilancia?
RSV0495;200000216;1212;24/06/2025;TCredito;26/06/2025;27/06/2025;Es zona segura?
RSV0496;200000094;1169;03/05/2025;TCredito;08/05/2025;10/05/2025;Esta cerca del metro?
RSV0497;200000181;1176;17/06/2025;TCredito;19/06/2025;22/06/2025;Es zona segura?
RSV0498;200000072;1199;17/06/2025;PSE;22/06/2025;27/06/2025;Tiene cocina?
RSV0499;200000057;1046;27/06/2025;TCredito;28/06/2025;03/07/2025;Es zona segura?
RSV0500;200000105;1027;27/05/2025;PSE;30/05/2025;01/06/2025;Incluye desayuno?
RSV0501;200000226;1014;08/06/2025;PSE;11/06/2025;12/06/2025;Incluye desayuno?
RSV0502;200000201;1193;24/07/2025;PSE;27/07/2025;31/07/2025;Puedo llevar mascota?
RSV0503;200000142;1183;17/05/2025;PSE;21/05/2025;24/05/2025;Tiene wifi?
RSV0504;200000178;1020;21/06/2025;TCredito;22/06/2025;26/06/2025;Hay aire acondicionado?
RSV0505;200000060;1057;01/06/2025;PSE;03/06/2025;06/06/2025;Esta cerca del metro?
RSV0506;200000091;1057;15/07/2025;TCredito;16/07/2025;20/07/2025;Hay vigilancia?
RSV0507;200000073;1187;15/07/2025;PSE;16/07/2025;20/07/2025;Puedo llevar mascota?
RSV0508;200000160;1197;09/07/2025;PSE;11/07/2025;16/07/2025;Se permite fumar?
RSV0509;200000186;1168;16/06/2025;PSE;20/06/2025;24/06/2025;Hay aire acondicionado?
RSV0510;200000058;1138;26/05/2025;PSE;30/05/2025;02/06/2025;Tiene wifi?
RSV0511;200000076;1142;01/05/2025;PSE;03/05/2025;08/05/2025;Puedo llevar mascota?
RSV0512;200000134;1134;06/06/2025;PSE;10/06/2025;14/06/2025;Hay vigilancia?
RSV0513;200000045;1109;12/05/2025;PSE;17/05/2025;20/05/2025;Puedo llevar mascota?
RSV0514;200000074;1161;22/06/2025;PSE;25/06/2025;27/06/2025;Es zona segura?
RSV0515;200000233;1033;06/05/2025;TCredito;11/05/2025;15/05/2025;Esta cerca del metro?
RSV0516;200000007;1170;29/04/2025;PSE;03/05/2025;04/05/2025;Es zona segura?
RSV0517;200000057;1149;22/05/2025;PSE;24/05/2025;26/05/2025;Es zona segura?
RSV0518;200000171;1097;24/07/2025;PSE;26/07/2025;29/07/2025;Hay aire acondicionado?
RSV0519;200000153;1244;15/05/2025;PSE;20/05/2025;25/05/2025;Puedo llevar mascota?
RSV0520;200000083;1088;20/07/2025;PSE;24/07/2025;26/07/2025;Incluye desayuno?
RSV0521;200000143;1008;15/06/2025;TCredito;20/06/2025;23/06/2025;Se permite fumar?
RSV0522;200000178;1195;01/06/2025;TCredito;06/06/2025;07/06/2025;Se permite fumar?
RSV0523;200000085;1211;29/06/2025;PSE;03/07/2025;05/07/2025;Esta cerca del metro?
RSV0524;200000001;1124;10/06/2025;TCredito;11/06/2025;14/06/2025;Se permite fumar?
RSV0525;200000089;1143;30/05/2025;TCredito;01/06/2025;03/06/2025;Incluye desayuno?
RSV0526;200000056;1065;05/06/2025;PSE;08/06/2025;12/06/2025;Es zona segura?
RSV0527;200000110;1117;12/07/2025;PSE;16/07/2025;18/07/2025;Tiene parqueadero?
RSV0528;200000025;1023;20/06/2025;TCredito;25/06/2025;28/06/2025;Tiene parqueadero?
RSV0529;200000037;1033;10/07/2025;PSE;15/07/2025;20/07/2025;Puedo llevar mascota?
RSV0530;200000243;1217;30/05/2025;PSE;01/06/2025;02/06/2025;Tiene cocina?
RSV0531;200000174;1098;18/05/2025;PSE;22/05/2025;25/05/2025;Hay vigilancia?
RSV0532;200000246;1024;14/05/2025;PSE;18/05/2025;22/05/2025;Es zona segura?
RSV0533;200000225;1003;01/06/2025;PSE;03/06/2025;08/06/2025;Puedo llevar mascota?
RSV0534;200000143;1171;12/05/2025;PSE;13/05/2025;16/05/2025;Puedo llevar mascota?
RSV0535;200000129;1081;30/05/2025;TCredito;03/06/2025;08/06/2025;Puedo llevar mascota?
RSV0536;200000066;1241;15/05/2025;TCredito;19/05/2025;21/05/2025;Incluye desayuno?
RSV0537;200000078;1242;15/05/2025;TCredito;19/05/2025;24/05/2025;Hay vigilancia?
RSV0538;200000166;1019;09/06/2025;TCredito;11/06/2025;15/06/2025;Tiene parqueadero?
RSV0539;200000063;1166;20/06/2025;PSE;25/06/2025;27/06/2025;Hay aire acondicionado?
RSV0540;200000134;1029;27/07/2025;PSE;29/07/2025;31/07/2025;Tiene wifi?
RSV0541;200000091;1224;23/06/2025;PSE;24/06/2025;28/06/2025;Puedo llevar mascota?
RSV0542;200000238;1014;05/05/2025;PSE;08/05/2025;11/05/2025;Tiene wifi?
RSV0543;200000020;1203;16/05/2025;TCredito;17/05/2025;19/05/2025;Tiene wifi?
RSV0544;200000078;1029;22/07/2025;PSE;24/07/2025;26/07/2025;Hay aire acondicionado?
RSV0545;200000100;1174;13/06/2025;PSE;15/06/2025;19/06/2025;Se permite fumar?
RSV0546;200000104;1046;13/06/2025;PSE;14/06/2025;19/06/2025;Hay vigilancia?
RSV0547;200000152;1147;12/07/2025;PSE;13/07/2025;16/07/2025;Esta cerca del metro?
RSV0548;200000091;1129;30/05/2025;PSE;04/06/2025;09/06/2025;Tiene parqueadero?
RSV0549;200000192;1221;28/06/2025;TCredito;01/07/2025;02/07/2025;Tiene parqueadero?
RSV0550;200000225;1218;23/07/2025;TCredito;26/07/2025;28/07/2025;Tiene wifi?
RSV0551;200000153;1107;30/06/2025;PSE;02/07/2025;04/07/2025;Puedo llevar mascota?
RSV0552;200000184;1082;31/05/2025;TCredito;03/06/2025;08/06/2025;Es zona segura?
RSV0553;200000127;1033;26/05/2025;TCredito;30/05/2025;02/06/2025;Es zona segura?
RSV0554;200000206;1103;31/05/2025;TCredito;04/06/2025;08/06/2025;Esta cerca del metro?
RSV0555;200000130;1143;10/06/2025;TCredito;11/06/2025;15/06/2025;Incluye desayuno?
RSV0556;200000073;1087;30/04/2025;PSE;02/05/2025;07/05/2025;Hay aire acondicionado?
RSV0557;200000156;1104;04/06/2025;PSE;07/06/2025;10/06/2025;Puedo llevar mascota?
RSV0558;200000121;1215;29/05/2025;TCredito;30/05/2025;01/06/2025;Incluye desayuno?
RSV0559;200000214;1080;19/06/2025;PSE;22/06/2025;26/06/2025;Tiene cocina?
RSV0560;200000088;1192;03/07/2025;PSE;07/07/2025;11/07/2025;Es zona segura?
RSV0561;200000142;1142;04/06/2025;TCredito;05/06/2025;08/06/2025;Esta cerca del metro?
RSV0562;200000211;1159;11/07/2025;PSE;14/07/2025;19/07/2025;Esta cerca del metro?
RSV0563;200000037;1230;30/05/2025;TCredito;31/05/2025;05/06/2025;Hay vigilancia?
RSV0564;200000148;1069;20/06/2025;TCredito;24/06/2025;27/06/2025;Tiene wifi?
RSV0565;200000035;1081;18/06/2025;TCredito;19/06/2025;21/06/2025;Hay vigilancia?
RSV0566;200000078;1232;07/05/2025;PSE;11/05/2025;15/05/2025;Es zona segura?
RSV0567;200000149;1088;17/07/2025;PSE;19/07/2025;20/07/2025;Incluye desayuno?
RSV0568;200000157;1141;30/04/2025;PSE;03/05/2025;05/05/2025;Tiene cocina?
RSV0569;200000087;1098;12/05/2025;PSE;13/05/2025;14/05/2025;Esta cerca del metro?
RSV0570;200000019;1207;05/06/2025;TCredito;10/06/2025;14/06/2025;Tiene wifi?
RSV0571;200000092;1220;18/07/2025;PSE;21/07/2025;22/07/2025;Esta cerca del metro?
RSV0572;200000180;1094;24/07/2025;PSE;25/07/2025;30/07/2025;Esta cerca del metro?
